Alb_20,Sa_20,Port_20,Alb_21,Sa_21,Port_21
16112,404.22,159.53,973.53,475.83,377.31
1195.53,236.14,191.38,1030.02,563.06,368.73
1341.44,321.01,10.26,809.82,667.52,368.04
710.78,589.8,11.21,981.91,415.73,324.61
1112.44,376.92,10.63,1024.82,460.72,330.39
1114.86,78.99,29,951.85,562.11,418.58
904.69,261.23,75.05,941.47,452.19,341.91
1250.36,192,147.74,900.32,453.78,344.4
