Alb_20,Sa_20,Port_20,Alb_21,Sa_21,Port_21
126.38,178.98,73.61,72,107,35
67.74,113.21,123.43,30,48,32
123.25,122.42,94.1,22,57,26
80.03,130.54,44.97,27,44,30
