Alb_20,Sa_20,Port_20,Alb_21,Sa_21,Port_21
58.82,31.48,36.67,100,10,105
69.04,25.97,25.78,26,25,61
42.37,8.8,74.55,29,85,43
7.65,7.36,76.1,44,0,48
55.69,49.28,4.68,0,0,0
